판매소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업자등록번호,대형폐기물스티커판매여부,영업상태명,전화번호,지정일자,폐업일자,관리기관명,데이터기준일자
반여상회,부산광역시,해운대구,부산광역시 해운대구 반여로 42,부산광역시 해운대구 반여동 1694,,,000-00-00000,N,영업,051-524-9310,2017-05-16,,부산광역시 해운대구,2026-01-09
반여생활용품,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 13-9,부산광역시 해운대구 반여동 1601-11,,,618-19-70236,N,영업,051-782-6529,2018-04-13,,부산광역시 해운대구,2026-01-09
반여스토아,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 32,부산광역시 해운대구 반여동 1595-2,,,683-03-00882,N,영업,051-783-8238,2017-08-02,,부산광역시 해운대구,2026-01-09
백천철물,부산광역시,해운대구,부산광역시 해운대구 재반로270번길 23 (반여동) 백천설비,부산광역시 해운대구 반여동 1586-4,,,518-04-02884,N,영업,000-000-0000,2024-04-08,,부산광역시 해운대구,2026-01-09
베스트마트,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 29-10,부산광역시 해운대구 반여동 1591-26,,,000-00-00000,N,영업,051-781-6449,2017-05-16,,부산광역시 해운대구,2026-01-09
베스트마트,부산광역시,해운대구,"부산광역시 해운대구 해운대로 428, B동 101호",부산광역시 해운대구 우동 1008-7,,,318-16-00784,N,영업,051-744-3488,2018-04-19,,부산광역시 해운대구,2026-01-09
부산고기백화점,부산광역시,해운대구,부산광역시 해운대구 재반로 250 (반여동),부산광역시 해운대구 반여동 1608-12,,,617-91-45157,N,영업,051-783-9944,2017-05-16,,부산광역시 해운대구,2026-01-09
부산할인마트,부산광역시,해운대구,부산광역시 해운대구 재반로225번길 17,부산광역시 해운대구 반여동 1291-600,,,000-00-00000,N,영업,051-782-4789,2017-05-16,,부산광역시 해운대구,2026-01-09
부영슈퍼,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 51-70 (반여동),부산광역시 해운대구 반여동 1588-8,,,617-35-53966,N,영업,000-000-0000,2018-04-13,,부산광역시 해운대구,2026-01-09
비둘기슈퍼,부산광역시,해운대구,부산광역시 해운대구 재반로 182,부산광역시 해운대구 재송동 1150-5,,,000-00-00000,N,영업,051-781-1195,2017-05-16,,부산광역시 해운대구,2026-01-09
비취타운,부산광역시,해운대구,부산광역시 해운대구 송정해변로 38,부산광역시 해운대구 송정동 297-42,,,000-00-00000,N,영업,051-703-8098,2017-05-16,,부산광역시 해운대구,2026-01-09
빅세일 2호점,부산광역시,해운대구,"부산광역시 해운대구 우동2로 30번길 20 , 1층",부산광역시 해운대구 우동 232-27,,,000-00-00000,N,영업,051-741-4936,2015-11-17,,부산광역시 해운대구,2026-01-09
빅세일마트,부산광역시,해운대구,부산광역시 해운대구 해운대로 1115 (송정동),부산광역시 해운대구 송정동 134-1,,,154-20-00722,N,영업,051-701-8868,2021-01-08,,부산광역시 해운대구,2026-01-09
빅세일마트,부산광역시,해운대구,부산광역시 해운대구 재반로125번길 71,부산광역시 해운대구 재송동 1052-31,,,000-00-00000,N,영업,051-781-6988,2017-05-16,,부산광역시 해운대구,2026-01-09
빅세일마트(재송제2동),부산광역시,해운대구,부산광역시 해운대구 재반로 116 (재송동) 지하1층,부산광역시 해운대구 재송동 1130-16,,,286-50-00860,N,영업,000-000-0000,2024-03-19,,부산광역시 해운대구,2026-01-09
빅세일마트반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로165번길 7 (반여동) 빅세일마트반여점,부산광역시 해운대구 반여동 903-33,,,000-00-00000,N,영업,051-524-5578,2017-05-16,,부산광역시 해운대구,2026-01-09
삼거리슈퍼,부산광역시,해운대구,"부산광역시 해운대구 신반송로 163, 남흥아파트 상가6동 101호",부산광역시 해운대구 반송동 887,,,738-18-01109,N,영업,000-000-0000,2020-03-25,,부산광역시 해운대구,2026-01-09
삼성빅마트,부산광역시,해운대구,부산광역시 해운대구 재반로 81-8,부산광역시 해운대구 재송동 1089-9,,,632-07-00674,N,영업,051-781-3650,2017-02-21,,부산광역시 해운대구,2026-01-09
삼성정미소 쌀직판장,부산광역시,해운대구,부산광역시 해운대구 재반로242번길 13-30,부산광역시 해운대구 반여동 1597-24,,,000-00-00000,N,영업,051-782-6537,2017-05-16,,부산광역시 해운대구,2026-01-09
삼익하나로마트,부산광역시,해운대구,부산광역시 해운대구 해운대로81번길 24,부산광역시 해운대구 재송동 1052-8,,,000-00-00000,N,영업,051-784-3536,2017-05-16,,부산광역시 해운대구,2026-01-09
삼한슈퍼,부산광역시,해운대구,"부산광역시 해운대구 신반송로 72 (반송동, 삼한5차아파트) 상가 101호",부산광역시 해운대구 반송동 886,,,000-00-00000,N,영업,051-545-1404,2017-05-16,,부산광역시 해운대구,2026-01-09
삼환두배로마트,부산광역시,해운대구,부산광역시 해운대구 해운대로361,부산광역시 해운대구 우동 1100,,,617-21-81747,N,영업,051-747-9110,2017-05-16,,부산광역시 해운대구,2026-01-09
삼흥상회,부산광역시,해운대구,부산광역시 해운대구 해운대로219번길 21,부산광역시 해운대구 재송동 97-1,,,000-00-00000,N,영업,051-782-5675,2017-05-16,,부산광역시 해운대구,2026-01-09
상건철물,부산광역시,해운대구,부산광역시 해운대구 선수촌로 171,부산광역시 해운대구 반여동 891-2,,,618-19-37426,N,영업,051-522-5737,2019-12-27,,부산광역시 해운대구,2026-01-09
상록스토아,부산광역시,해운대구,부산광역시 해운대구 세실로 7,부산광역시 해운대구 좌동 1331,,,000-00-00000,N,영업,051-702-0740,2017-05-16,,부산광역시 해운대구,2026-01-09
서울슈퍼,부산광역시,해운대구,부산광역시 해운대구 해운대로91번길 17,부산광역시 해운대구 재송동 189-4,,,000-00-00000,N,영업,051-781-9371,2017-05-16,,부산광역시 해운대구,2026-01-09
서원탑할인마트,부산광역시,해운대구,부산광역시 해운대구 재반로60번길 51,부산광역시 해운대구 재송동 151-11,,,000-00-00000,N,영업,051-784-1303,2017-05-16,,부산광역시 해운대구,2026-01-09
선수촌방앗간,부산광역시,해운대구,부산광역시 해운대구 반여로167번길 43-1,부산광역시 해운대구 반여동 936-1,,,000-00-00000,N,영업,051-526-3738,2017-05-16,,부산광역시 해운대구,2026-01-09
성황리마트,부산광역시,해운대구,"부산광역시 해운대구 신반송로161, 1층(반송동)",부산광역시 해운대구 반송동 881,,,658-04-01785,N,영업,051-545-7910,2020-07-07,,부산광역시 해운대구,2026-01-09
세븐일레븐 반송제일점,부산광역시,해운대구,"부산광역시 해운대구 반송로 928, 1층(반송2동)",부산광역시 해운대구 반송동 15-67,,,810-70-00453,N,영업,000-000-0000,2020-06-05,,부산광역시 해운대구,2026-01-09
세븐일레븐 반여선수촌 2호점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 122 (반여동, 아시아선수촌아파트)  분산1상가 1층 101호",부산광역시 해운대구 반여동 1638,,,524-61-00206,N,영업,051-522-3559,2017-09-04,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산달맞이경동점,부산광역시,해운대구,"부산광역시 해운대구 달맞이길65번길 12-12 (중동, 달맞이경동메르빌아파트) 상가동 102,103호",부산광역시 해운대구 중동 1515-2,,,241-76-00606,N,영업,000-000-0000,2024-03-08,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산두산동국점,부산광역시,해운대구,"부산광역시 해운대구 양운로182, 주상가동 104호,105호(좌동,두산1차아파트",부산광역시 해운대구 좌동 1394,,,820-14-01017,N,영업,051-704-4470,2019-07-12,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산마린시티자이점,부산광역시,해운대구,"부산광역시 해운대구 마린시티1로 9 (우동, 마린시티자이) 114호",부산광역시 해운대구 우동 1405-1,,,824-85-01381,N,영업,000-000-0000,2020-01-28,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산반여대림점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 97, 1층(반여동)",부산광역시 해운대구 반여동 1206-44,,,731-03-00629,N,영업,000-000-0000,2019-10-28,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산반여스마트점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 146-4,부산광역시 해운대구 반여동 1685,,,447-06-03168,N,영업,000-000-0000,2025-11-19,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산반여스위첸점,부산광역시,해운대구,"부산광역시 해운대구 반여로 42 (반여동, 센텀kcc스위첸) 501동 지하3층 110호",부산광역시 해운대구 반여동 1691,,,549-30-01888,N,영업,000-000-0000,2025-06-10,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산반여왕자점,부산광역시,해운대구,부산광역시 해운대구 선수촌로21번길 21(그린종합상가),부산광역시 해운대구 반여동 1405-36,,,000-00-00000,N,영업,051-523-5616,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산삼호중앙점,부산광역시,해운대구,"부산광역시 해운대구 해운대로349번길 24, 상가2동 102호,103호",부산광역시 해운대구 우동 1104-1,,,807-37-00445,N,영업,000-000-0000,2018-10-02,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산우동푸르지오점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 650 (우동, 해운대 센트럴 푸르지오) 상가 119호",부산광역시 해운대구 우동 1562,,,360-20-01802,N,영업,000-000-0000,2023-06-29,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산재송동부점,부산광역시,해운대구,"부산광역시 해운대구 해운대로161번길 7, 1층",부산광역시 해운대구 재송동 1097-5,,,000-00-00000,N,영업,051-781-8810,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산재송원룸점,부산광역시,해운대구,"부산광역시 해운대구 해운대로123번길 21, 1층",부산광역시 해운대구 재송동 1074-17,,,837-73-00196,N,영업,051-781-4578,2018-06-28,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산재송은하점,부산광역시,해운대구,"부산광역시 해운대구 재반로84번길 65, 1층 102호",부산광역시 해운대구 재송동 1128-9,,,422-38-01269,N,영업,000-000-0000,2022-12-19,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산재송점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 143번길 32 , 1층",부산광역시 해운대구 재송동 1105-7,,,564-13-00538,N,영업,000-000-0000,2017-05-30,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산재송제일점,부산광역시,해운대구,부산광역시 해운대구 재반로 123,부산광역시 해운대구 재송동 1058-3,,,000-00-00000,N,영업,051-728-0423,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해리단길점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로237번길 12,부산광역시 해운대구 우동 629-3,,,302-05-49641,N,영업,000-000-0000,2022-10-28,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해운대마린시티,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 46, 상가 117호",부산광역시 해운대구 우동 1410-2,,,817-17-01915,N,영업,000-000-0000,2023-05-17,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해운대미포점,부산광역시,해운대구,"부산광역시 해운대구 달맞이길62번길 23, 1층(중동)",부산광역시 해운대구 중동 957-9,,,789-59-00324,N,영업,051-744-7505,2020-06-30,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해운대점,부산광역시,해운대구,부산광역시 해운대구 구남로 47 (중동) 중동,부산광역시 해운대구 중동 1392-24,,,139-33-00359,N,영업,051-746-9411,2018-03-26,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해운대주공점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 118(좌동, 해운대센트럴파크아파트)",부산광역시 해운대구 좌동 1282,,,000-00-00000,N,영업,051-703-1336,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 부산해운사랑점,부산광역시,해운대구,부산광역시 해운대구 우동1로 5-1,부산광역시 해운대구 우동 640-1,,,000-00-00000,N,영업,000-000-0000,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 영산대정문점,부산광역시,해운대구,부산광역시 해운대구 반송순환로 141 (반송동) 1층,부산광역시 해운대구 반송동 250-2486,,,542-60-00788,N,영업,051-542-2603,2019-02-20,,부산광역시 해운대구,2026-01-09
세븐일레븐 우동2호점,부산광역시,해운대구,"부산광역시 해운대구 해운대로452번길 18, 1층",부산광역시 해운대구 우동 1007-16,,,481-13-00698,N,영업,051-732-4914,2018-01-25,,부산광역시 해운대구,2026-01-09
세븐일레븐 우동롯데점,부산광역시,해운대구,부산광역시 해운대구 해운대로483번길 8-1,부산광역시 해운대구 우동 952,,,000-00-00000,N,영업,051-746-7164,2017-05-16,,부산광역시 해운대구,2026-01-09
세븐일레븐 해운대 나인점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번가길 7,부산광역시 해운대구 우동 654-2,,,464-15-01643,N,영업,000-000-0000,2022-11-08,,부산광역시 해운대구,2026-01-09
세븐일레븐 해운대그랜드점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 221번길 16-1 1층,부산광역시 해운대구 우동 648-11,,,397-05-00568,N,영업,000-000-0000,2017-02-23,,부산광역시 해운대구,2026-01-09
세븐일레븐 해운대비치점,부산광역시,해운대구,부산광역시 해운대구 구남로 42-1,부산광역시 해운대구 중동 1391-41,,,364-06-02087,N,영업,051-740-8851,2022-10-24,,부산광역시 해운대구,2026-01-09
세븐일레븐 해운오렌지점,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 23 (우동) 136호(우동, 벽산e-오렌지상가)",부산광역시 해운대구 우동 1435,,,617-21-77092,N,영업,000-000-0000,2023-09-13,,부산광역시 해운대구,2026-01-09
세븐일레븐부산아르피나호스텔점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로 35 (우동) 지하1층,부산광역시 해운대구 우동 1417,,,440-23-01870,N,영업,051-744-4839,2024-06-05,,부산광역시 해운대구,2026-01-09
세븐일레븐부산해운대한일점,부산광역시,해운대구,"부산광역시 해운대구 대천로 56, 109호(좌동, 한일아파트)",부산광역시 해운대구 좌동 1274,,,000-00-00000,N,영업,051-747-9450,2017-05-16,,부산광역시 해운대구,2026-01-09
세신전기철물,부산광역시,해운대구,부산광역시 해운대구 우동1로 47,부산광역시 해운대구 우동 460-67,,,000-00-00000,N,영업,051-746-0008,2017-05-16,,부산광역시 해운대구,2026-01-09
세이브존해운대점,부산광역시,해운대구,부산광역시 해운대구 구남로 41번길 45,부산광역시 해운대구 중동 1394-162,,,000-00-00000,N,영업,051-740-9500,2017-05-16,,부산광역시 해운대구,2026-01-09
소도몰 센텀재송점,부산광역시,해운대구,"부산광역시 해운대구 해운대로76번길 40 (재송동, 센텀리슈빌) 3단지 상가동 5-1호(재송동, 센텀리슈빌)",부산광역시 해운대구 재송동 1350,,,383-11-02762,N,영업,000-000-0000,2025-10-27,,부산광역시 해운대구,2026-01-09
소영장식,부산광역시,해운대구,부산광역시 해운대구 구남로41번길9,부산광역시 해운대구 중동 1394-259,,,000-00-00000,N,영업,051-742-2770,2017-05-16,,부산광역시 해운대구,2026-01-09
스카이 할인마트송정점,부산광역시,해운대구,부산광역시 해운대구 송정중앙로15번길 8 (송정동),부산광역시 해운대구 송정동 199-11,,,736-49-00675,N,영업,051-703-8582,2021-12-13,,부산광역시 해운대구,2026-01-09
스카이마트,부산광역시,해운대구,부산광역시 해운대구 우동3로 57 (우동) 1동 101호,부산광역시 해운대구 우동 275-6,,,133-18-03559,N,영업,051-747-0308,2024-01-08,,부산광역시 해운대구,2026-01-09
신동아마트,부산광역시,해운대구,"부산광역시 해운대구 재반로60번길 46-6, 신동아아파트 상가 101호",부산광역시 해운대구 재송동 131,,,000-00-00000,N,영업,051-782-2011,2017-05-16,,부산광역시 해운대구,2026-01-09
신동아빅세일마트반여점,부산광역시,해운대구,"부산광역시 해운대구 반여로 176 (반여동, 신동아아파트) 신동아빅세일마트반여점",부산광역시 해운대구 반여동 982-14,,,108-30-43009,N,영업,000-000-0000,2020-09-01,,부산광역시 해운대구,2026-01-09
신세계슈퍼마켓,부산광역시,해운대구,"부산광역시 해운대구 신반송로 102, 상가 제213동 지하 101,102,103호",부산광역시 해운대구 반송동 872,,,488-56-00605,N,영업,051-545-3365,2022-03-08,,부산광역시 해운대구,2026-01-09
신풍상회,부산광역시,해운대구,부산광역시 해운대구 달맞이길62번길 47-2(중동),부산광역시 해운대구 중동 1016-1,,,000-00-00000,N,영업,051-746-2273,2017-05-16,,부산광역시 해운대구,2026-01-09
싸다마트,부산광역시,해운대구,부산광역시 해운대구 선수촌로207번가길 43,부산광역시 해운대구 반여동 783-17,,,554-05-01063,N,영업,051-526-9278,2018-07-06,,부산광역시 해운대구,2026-01-09
썬프라자마트,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 1 (우동, 선프라자) 1층 상가 102호, 119호, 120호",부산광역시 해운대구 우동 1434 선프라자,,,229-63-00663,N,영업,000-000-0000,2024-05-28,,부산광역시 해운대구,2026-01-09
씨유 까르띠움점,부산광역시,해운대구,부산광역시 해운대구 해운대로 785 (좌동) 1층 102호,부산광역시 해운대구 좌동 1459-5,,,133-46-01137,N,영업,000-000-0000,2025-01-22,,부산광역시 해운대구,2026-01-09
씨유 뉴한일오르듀점,부산광역시,해운대구,"부산광역시 해운대구 마린시티3로 37 (우동) 110호, 111호, 112호",부산광역시 해운대구 우동 1435-3,,,617-21-51870,N,영업,000-000-0000,2024-01-17,,부산광역시 해운대구,2026-01-09
씨유 뉴해운대래미안점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로 402 (중동, 래미안 해운대) 1층 103호",부산광역시 해운대구 중동 1793 래미안 해운대,,,119-26-02146,N,영업,000-000-0000,2025-09-03,,부산광역시 해운대구,2026-01-09
씨유 대동점,부산광역시,해운대구,"부산광역시 해운대구 대천로103번길 29 (좌동, 대동타운) 분산상가동 101~104호",부산광역시 해운대구 좌동 1288,,,316-15-02682,N,영업,000-000-0000,2024-09-24,,부산광역시 해운대구,2026-01-09
씨유 반송그린점,부산광역시,해운대구,"부산광역시 해운대구 반송순환로 205-1, 1층(반송동)",부산광역시 해운대구 반송동 275-533,,,227-68-00129,N,영업,000-000-0000,2017-09-26,,부산광역시 해운대구,2026-01-09
씨유 반송동부산점,부산광역시,해운대구,부산광역시 해운대구 반송로 869-1(반송동),부산광역시 해운대구 반송동 281-5,,,000-00-00000,N,영업,051-545-0717,2017-05-16,,부산광역시 해운대구,2026-01-09
씨유 반송하나점(주식회사해솔),부산광역시,해운대구,부산광역시 해운대구 윗반송로35번길 40 (반송동) 1층,부산광역시 해운대구 반송동 214-50,,,283-88-03099,N,영업,000-000-0000,2024-03-20,,부산광역시 해운대구,2026-01-09
씨유 반여그린점,부산광역시,해운대구,부산광역시 해운대구 재반로270번길 28 (반여동) 1층,부산광역시 해운대구 반여동 1592-1,,,864-13-02644,N,영업,000-000-0000,2024-10-08,,부산광역시 해운대구,2026-01-09
씨유 반여에덴점,부산광역시,해운대구,"부산광역시 해운대구 재반로212번길 5, 1층(반여2동)",부산광역시 해운대구 반여동 1291-533,,,737-06-02664,N,영업,000-000-0000,2020-10-26,,부산광역시 해운대구,2026-01-09
씨유 반여오토점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 210(반여동 753-5),부산광역시 해운대구 반여동 753-5,,,515-09-65717,N,영업,000-000-0000,2020-03-27,,부산광역시 해운대구,2026-01-09
씨유 반여우방점,부산광역시,해운대구,"부산광역시 해운대구 삼어로61(반여동,우방신세계타운116동 101,102,103호)",부산광역시 해운대구 반여동 1190-1,,,249-01-02819,N,영업,000-000-0000,2018-10-25,,부산광역시 해운대구,2026-01-09
씨유 반여트루엘점,부산광역시,해운대구,"부산광역시 해운대구 삼어로133번나길 17, 119동 103호(반여동,센텀트루엘1",부산광역시 해운대구 반여동 1682,,,807-19-01474,N,영업,000-000-0000,2020-09-02,,부산광역시 해운대구,2026-01-09
씨유 반여협성점,부산광역시,해운대구,"부산광역시 해운대구 해운대로38번길 60,101-1호(반여동,센텀르네상스타운)",부산광역시 해운대구 재송동 1324,,,262-25-01309,N,영업,000-000-0000,2021-06-08,,부산광역시 해운대구,2026-01-09
씨유 부산재송점,부산광역시,해운대구,"부산광역시 해운대구 재반로84번길 17, 1층",부산광역시 해운대구 재송동 1124-6,,,310-09-78655,N,영업,000-000-0000,2023-04-19,,부산광역시 해운대구,2026-01-09
씨유 새한센시빌점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 284, 새한센시빌상가 105호~106호",부산광역시 해운대구 우동 1228,,,000-00-00000,N,영업,051-731-0740,2017-05-16,,부산광역시 해운대구,2026-01-09
씨유 센텀드파인점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 30 (반여동, 드파인센텀) 403-105",부산광역시 해운대구 반여동 1699,,,601-34-42870,N,영업,000-000-0000,2024-10-24,,부산광역시 해운대구,2026-01-09
씨유 센텀리슈빌점,부산광역시,해운대구,부산광역시 해운대구 해운대로38번길70,부산광역시 해운대구 재송동 1354,,,697-04-03565,N,영업,000-000-0000,2025-12-04,,부산광역시 해운대구,2026-01-09
씨유 센텀삼환점,부산광역시,해운대구,부산광역시 해운대구 해운대로383번길 55 (우동) 1층,부산광역시 해운대구 우동 1185-64,,,648-57-00688,N,영업,000-000-0000,2025-01-16,,부산광역시 해운대구,2026-01-09
씨유 센텀센트레빌점,부산광역시,해운대구,부산광역시 해운대구 해운대로108번길 22 (재송동) 103동 지1층102호(센텀 센트레빌 플래비뉴),부산광역시 해운대구 재송동 900-1,,,634-38-01300,N,영업,000-000-0000,2024-01-23,,부산광역시 해운대구,2026-01-09
씨유 센텀월드마크점,부산광역시,해운대구,"부산광역시 해운대구 센텀동로 25 (우동, 대우월드마크센텀아파트) 상가동 1층 131호",부산광역시 해운대구 우동 1488,,,798-04-03193,N,영업,000-000-0000,2024-07-09,,부산광역시 해운대구,2026-01-09
씨유 센텀타워메디컬,부산광역시,해운대구,부산광역시 해운대구 센텀2로 20 (우동) 1층 105,부산광역시 해운대구 우동 1516,,,723-29-01122,N,영업,000-000-0000,2021-11-09,,부산광역시 해운대구,2026-01-09
씨유 송정메르드로브점,부산광역시,해운대구,부산광역시 해운대구 송정광어골로 80 (송정동) 지하2층 101호,부산광역시 해운대구 송정동 444-7,,,203-28-95847,N,영업,000-000-0000,2024-10-23,,부산광역시 해운대구,2026-01-09
씨유 송정원룸점,부산광역시,해운대구,"부산광역시 해운대구 송정중앙로15번길 115 (송정동, 라온하우스) 1층 101호",부산광역시 해운대구 송정동 181-18,,,642-22-00524,N,영업,000-000-0000,2017-08-10,,부산광역시 해운대구,2026-01-09
씨유 송정초량본가어묵정,부산광역시,해운대구,부산광역시 해운대구 송정광어골로 16 (송정동) 1층,부산광역시 해운대구 송정동 311-3,,,173-22-02012,N,영업,000-000-0000,2023-10-19,,부산광역시 해운대구,2026-01-09
씨유 송정태양점,부산광역시,해운대구,부산광역시 해운대구 송정중앙로33번길 30 (송정동),부산광역시 해운대구 송정동 195-9,,,474-18-02067,N,영업,000-000-0000,2023-11-02,,부산광역시 해운대구,2026-01-09
씨유 수비사거리점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 407, 신세계프라자 106호",부산광역시 해운대구 우동 1078-1,,,000-00-00000,N,영업,000-000-0000,2017-05-16,,부산광역시 해운대구,2026-01-09
씨유 신도시점,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 301(금강빌딩),부산광역시 해운대구 좌동 1443-2,,,000-00-00000,N,영업,051-705-9418,2017-05-16,,부산광역시 해운대구,2026-01-09
씨유 웰비치점,부산광역시,해운대구,부산광역시 해운대구 좌동로 38,부산광역시 해운대구 중동 301,,,617-16-83834,N,영업,051-731-5889,2016-09-27,,부산광역시 해운대구,2026-01-09
씨유 장산스타점,부산광역시,해운대구,"부산광역시 해운대구 양운로42번길 18 (좌동) 110,111호(좌동, 에이원웨이)",부산광역시 해운대구 좌동 1480-2,,,556-08-03224,N,영업,000-000-0000,2025-03-18,,부산광역시 해운대구,2026-01-09
씨유 장산햇별점,부산광역시,해운대구,"부산광역시 해운대구 세실로69번길 5 (좌동) 103호,104호",부산광역시 해운대구 좌동 1465-4,,,438-13-02315,N,영업,000-000-0000,2023-12-28,,부산광역시 해운대구,2026-01-09
씨유 재송그랑점,부산광역시,해운대구,"부산광역시 해운대구 재송1로12, 1층",부산광역시 해운대구 재송동 1071-17,,,817-30-00536,N,영업,000-000-0000,2018-01-25,,부산광역시 해운대구,2026-01-09
씨유 재송동국점,부산광역시,해운대구,"부산광역시 해운대구 재송2로74번길 6, 1층",부산광역시 해운대구 재송동 1153-24,,,716-08-00718,N,영업,000-000-0000,2017-07-27,,부산광역시 해운대구,2026-01-09
씨유 재송동부점,부산광역시,해운대구,부산광역시 해운대구 해운대로153번길 20 (재송동) 1층,부산광역시 해운대구 재송동 1101-8,,,870-06-02715,N,영업,000-000-0000,2023-08-18,,부산광역시 해운대구,2026-01-09
씨유 재송드림점,부산광역시,해운대구,부산광역시 해운대구 해운대로81번길137,부산광역시 해운대구 재송동 1042-2,,,000-00-00000,N,영업,000-000-0000,2016-04-01,,부산광역시 해운대구,2026-01-09
씨유 재송센텀그린점,부산광역시,해운대구,"부산광역시 해운대구 해운대로61번길 61, 1층(반여동)",부산광역시 해운대구 반여동 1291-1219,,,612-24-19268,N,영업,000-000-0000,2019-09-27,,부산광역시 해운대구,2026-01-09
씨유 재송센트럴점,부산광역시,해운대구,부산광역시 해운대구 해운대로143번길 68 (재송동) 재송동,부산광역시 해운대구 재송동 1116-3,,,172-58-00631,N,영업,000-000-0000,2024-05-21,,부산광역시 해운대구,2026-01-09
씨유 재송시영점,부산광역시,해운대구,"부산광역시 해운대구 재반로165번길 82, 19동 지하호,시영아파트",부산광역시 해운대구 재송동 1027,,,262-67-00498,N,영업,000-000-0000,2022-04-12,,부산광역시 해운대구,2026-01-09
씨유 좌동기분좋은점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로217번길 19 (좌동, 엘아이지건영아파트) 109호(건영주상가)",부산광역시 해운대구 좌동 1414,,,618-02-22416,N,영업,051-701-1671,2017-09-18,,부산광역시 해운대구,2026-01-09
씨유 좌동롯데점,부산광역시,해운대구,"부산광역시 해운대구 세실로 104, 105동 107호",부산광역시 해운대구 좌동 970,,,894-48-00329,N,영업,051-702-0408,2017-12-28,,부산광역시 해운대구,2026-01-09
씨유 좌동삼환점,부산광역시,해운대구,"부산광역시 해운대구 좌동순환로299번길 22, 상가동 지하층 3호(좌동, 삼환아파트)",부산광역시 해운대구 좌동 1445,,,603-47-66034,N,영업,000-000-0000,2018-05-01,,부산광역시 해운대구,2026-01-09
씨유 하이페리온점,부산광역시,해운대구,"부산광역시 해운대구 마린시티1로 155 C-102, 현대하이페리온상가",부산광역시 해운대구 우동 1434-2,,,000-00-00000,N,영업,051-746-9301,2017-05-16,,부산광역시 해운대구,2026-01-09
씨유 해리단길점,부산광역시,해운대구,부산광역시 해운대구 우동1로 86(우동),부산광역시 해운대구 우동 381-6,,,621-34-01010,N,영업,000-000-0000,2017-10-16,,부산광역시 해운대구,2026-01-09
씨유 해운대경동2차점,부산광역시,해운대구,"부산광역시 해운대구 구남로 21 (우동, 해운대 경동리인뷰2차) 301동 115호",부산광역시 해운대구 우동 1565,,,292-07-02775,N,영업,000-000-0000,2024-10-23,,부산광역시 해운대구,2026-01-09
씨유 해운대경동리인뷰점,부산광역시,해운대구,"부산광역시 해운대구 달맞이길 23 (중동, 해운대경동리인뷰1차) 201동 110호",부산광역시 해운대구 중동 1843,,,890-10-02088,N,영업,000-000-0000,2022-04-04,,부산광역시 해운대구,2026-01-09
